Lugar;"COD IBGE";"IDHM (1991)";"IDHM (2000)";"IDHM (2010)";"IDHM Renda (1991)";"IDHM Renda (2000)";"IDHM Renda (2010)";"IDHM Longevidade (1991)";"IDHM Longevidade (2000)";"IDHM Longevidade (2010)";"IDHM Educação (1991)";"IDHM Educação (2000)";"IDHM Educação (2010)"
"Portão (RS)";431480;0,453;0,618;0,713;0,610;0,701;0,725;0,714;0,789;0,856;0,214;0,427;0,584
"Porto Alegre (RS)";431490;0,660;0,744;0,805;0,779;0,830;0,867;0,748;0,811;0,857;0,494;0,612;0,702
"Porto Lucena (RS)";431500;0,437;0,578;0,693;0,509;0,591;0,700;0,705;0,786;0,827;0,232;0,416;0,575
"Porto Mauá (RS)";431505;0,474;0,593;0,698;0,511;0,584;0,672;0,735;0,777;0,831;0,284;0,459;0,608
"Porto Vera Cruz (RS)";431507;0,406;0,544;0,690;0,464;0,538;0,661;0,730;0,777;0,827;0,198;0,385;0,600
"Porto Xavier (RS)";431510;0,490;0,616;0,723;0,581;0,641;0,687;0,747;0,801;0,876;0,271;0,455;0,628
"Pouso Novo (RS)";431513;0,497;0,625;0,715;0,613;0,699;0,765;0,772;0,840;0,845;0,260;0,415;0,566
"Presidente Lucena (RS)";431514;0,455;0,621;0,757;0,595;0,686;0,727;0,763;0,852;0,885;0,207;0,409;0,674
"Progresso (RS)";431515;0,405;0,535;0,683;0,580;0,638;0,705;0,676;0,770;0,861;0,169;0,312;0,525
"Protásio Alves (RS)";431517;0,423;0,636;0,733;0,597;0,715;0,771;0,742;0,831;0,839;0,171;0,433;0,609
"Putinga (RS)";431520;0,444;0,577;0,715;0,556;0,646;0,745;0,734;0,777;0,873;0,215;0,383;0,563
"Quaraí (RS)";431530;0,542;0,630;0,704;0,628;0,649;0,673;0,714;0,793;0,852;0,355;0,486;0,609
"Quatro Irmãos (RS)";431531;0,330;0,504;0,689;0,485;0,539;0,695;0,705;0,775;0,833;0,105;0,307;0,565
"Quevedos (RS)";431532;0,343;0,491;0,665;0,474;0,591;0,667;0,711;0,743;0,824;0,120;0,270;0,534
"Quinze de Novembro (RS)";431535;0,477;0,657;0,756;0,643;0,666;0,783;0,734;0,810;0,841;0,230;0,526;0,655
"Redentora (RS)";431540;0,350;0,464;0,631;0,491;0,506;0,606;0,623;0,693;0,792;0,140;0,285;0,523
"Relvado (RS)";431545;0,406;0,588;0,731;0,580;0,668;0,765;0,715;0,770;0,868;0,161;0,395;0,588
"Restinga Seca (RS)";431550;0,490;0,586;0,683;0,610;0,643;0,709;0,701;0,753;0,828;0,275;0,415;0,542
"Rio dos Índios (RS)";431555;0,327;0,512;0,656;0,401;0,559;0,645;0,707;0,776;0,804;0,123;0,309;0,545
"Rio Grande (RS)";431560;0,527;0,652;0,744;0,651;0,702;0,752;0,717;0,804;0,861;0,314;0,491;0,637
"Rio Pardo (RS)";431570;0,482;0,609;0,693;0,602;0,656;0,702;0,696;0,792;0,846;0,268;0,435;0,560
"Riozinho (RS)";431575;0,420;0,568;0,661;0,557;0,630;0,690;0,760;0,853;0,885;0,175;0,341;0,472
"Roca Sales (RS)";431580;0,510;0,627;0,729;0,618;0,686;0,753;0,745;0,784;0,853;0,288;0,458;0,602
"Rodeio Bonito (RS)";431590;0,496;0,642;0,732;0,555;0,667;0,733;0,751;0,793;0,842;0,293;0,501;0,636
"Rolador (RS)";431595;0,366;0,583;0,689;0,454;0,593;0,676;0,745;0,788;0,834;0,145;0,423;0,579
"Rolante (RS)";431600;0,444;0,595;0,688;0,580;0,655;0,708;0,727;0,769;0,830;0,207;0,418;0,553
"Ronda Alta (RS)";431610;0,457;0,619;0,724;0,544;0,663;0,729;0,730;0,787;0,867;0,240;0,455;0,600
"Rondinha (RS)";431620;0,494;0,650;0,764;0,604;0,682;0,780;0,751;0,796;0,842;0,266;0,506;0,678
"Roque Gonzales (RS)";431630;0,448;0,567;0,688;0,528;0,594;0,687;0,717;0,769;0,843;0,237;0,399;0,563
"Rosário do Sul (RS)";431640;0,496;0,616;0,699;0,591;0,641;0,705;0,714;0,793;0,841;0,290;0,459;0,576
"Sagrada Família (RS)";431642;0,327;0,541;0,678;0,395;0,549;0,669;0,713;0,765;0,782;0,124;0,378;0,596
"Saldanha Marinho (RS)";431643;0,508;0,689;0,762;0,694;0,718;0,745;0,734;0,831;0,841;0,258;0,549;0,706
"Salto do Jacuí (RS)";431645;0,459;0,589;0,687;0,606;0,652;0,693;0,689;0,775;0,837;0,232;0,404;0,558
"Salvador das Missões (RS)";431647;0,518;0,655;0,753;0,542;0,627;0,710;0,709;0,792;0,851;0,362;0,567;0,706
"Salvador do Sul (RS)";431650;0,524;0,665;0,740;0,630;0,699;0,750;0,762;0,837;0,843;0,299;0,503;0,641
"Sananduva (RS)";431660;0,513;0,660;0,747;0,596;0,707;0,764;0,750;0,793;0,843;0,302;0,512;0,647
"Santa Bárbara do Sul (RS)";431670;0,541;0,653;0,725;0,631;0,670;0,716;0,734;0,794;0,841;0,342;0,523;0,634
"Santa Cecília do Sul (RS)";431673;0,372;0,529;0,725;0,516;0,641;0,781;0,730;0,828;0,839;0,137;0,279;0,581
"Santa Clara do Sul (RS)";431675;0,493;0,612;0,740;0,591;0,652;0,747;0,758;0,810;0,843;0,267;0,434;0,644
"Santa Cruz do Sul (RS)";431680;0,561;0,682;0,773;0,681;0,732;0,782;0,733;0,820;0,852;0,353;0,529;0,693
"Santa Margarida do Sul (RS)";431697;0,426;0,526;0,663;0,560;0,561;0,691;0,760;0,846;0,870;0,182;0,306;0,484
"Santa Maria (RS)";431690;0,609;0,715;0,784;0,699;0,748;0,795;0,756;0,828;0,848;0,428;0,591;0,715
"Santa Maria do Herval (RS)";431695;0,401;0,598;0,676;0,584;0,663;0,716;0,727;0,771;0,846;0,152;0,419;0,510
"Santana da Boa Vista (RS)";431700;0,388;0,553;0,633;0,483;0,587;0,630;0,704;0,765;0,802;0,172;0,376;0,503
"Sant'Ana do Livramento (RS)";431710;0,557;0,663;0,727;0,641;0,696;0,715;0,706;0,792;0,846;0,382;0,529;0,636
"Santa Rosa (RS)";431720;0,555;0,685;0,769;0,640;0,696;0,752;0,745;0,839;0,871;0,359;0,551;0,693
"Santa Tereza (RS)";431725;0,461;0,611;0,746;0,594;0,690;0,765;0,780;0,843;0,853;0,211;0,392;0,637
"Santa Vitória do Palmar (RS)";431730;0,501;0,626;0,712;0,649;0,677;0,709;0,668;0,766;0,861;0,290;0,474;0,591
"Santiago (RS)";431740;0,559;0,696;0,766;0,616;0,693;0,746;0,766;0,835;0,882;0,371;0,583;0,682
"Santo Ângelo (RS)";431750;0,568;0,685;0,772;0,651;0,707;0,765;0,752;0,814;0,863;0,374;0,558;0,696
"Santo Antônio da Patrulha (RS)";431760;0,508;0,620;0,717;0,625;0,642;0,718;0,748;0,784;0,866;0,281;0,474;0,594
"Santo Antônio das Missões (RS)";431770;0,435;0,582;0,686;0,551;0,606;0,672;0,710;0,748;0,835;0,210;0,436;0,576
"Santo Antônio do Palma (RS)";431755;0,453;0,667;0,764;0,579;0,699;0,787;0,760;0,844;0,853;0,211;0,503;0,665
"Santo Antônio do Planalto (RS)";431775;0,510;0,693;0,759;0,630;0,642;0,701;0,765;0,858;0,885;0,276;0,605;0,705
"Santo Augusto (RS)";431780;0,480;0,627;0,739;0,616;0,641;0,753;0,700;0,801;0,840;0,256;0,480;0,637
"Santo Cristo (RS)";431790;0,503;0,642;0,738;0,570;0,643;0,746;0,734;0,768;0,820;0,304;0,535;0,656
"Santo Expedito do Sul (RS)";431795;0,379;0,627;0,732;0,470;0,602;0,679;0,717;0,790;0,853;0,161;0,518;0,677
"São Borja (RS)";431800;0,540;0,637;0,736;0,632;0,663;0,720;0,754;0,794;0,860;0,331;0,490;0,643
"São Domingos do Sul (RS)";431805;0,568;0,690;0,763;0,651;0,695;0,780;0,751;0,830;0,839;0,375;0,570;0,680
"São Francisco de Assis (RS)";431810;0,445;0,558;0,675;0,547;0,609;0,681;0,720;0,776;0,818;0,223;0,367;0,552
"São Francisco de Paula (RS)";431820;0,464;0,592;0,685;0,608;0,657;0,701;0,678;0,778;0,860;0,243;0,405;0,534
"São Gabriel (RS)";431830;0,518;0,624;0,699;0,632;0,668;0,711;0,750;0,788;0,822;0,294;0,462;0,585
"São Jerônimo (RS)";431840;0,478;0,609;0,696;0,639;0,696;0,734;0,720;0,753;0,822;0,238;0,430;0,560
"São João da Urtiga (RS)";431842;0,428;0,572;0,694;0,506;0,616;0,702;0,734;0,771;0,828;0,211;0,395;0,575
"São João do Polêsine (RS)";431843;0,499;0,686;0,748;0,605;0,709;0,748;0,720;0,767;0,847;0,286;0,593;0,661
"São Jorge (RS)";431844;0,506;0,629;0,732;0,604;0,657;0,750;0,720;0,766;0,846;0,298;0,494;0,617
"São José das Missões (RS)";431845;0,326;0,540;0,651;0,492;0,586;0,652;0,711;0,756;0,782;0,099;0,356;0,542
"São José do Herval (RS)";431846;0,407;0,555;0,717;0,533;0,618;0,701;0,734;0,777;0,847;0,172;0,356;0,622
"São José do Hortêncio (RS)";431848;0,481;0,624;0,707;0,584;0,651;0,717;0,752;0,793;0,824;0,253;0,470;0,597
"São José do Inhacorá (RS)";431849;0,441;0,602;0,747;0,517;0,609;0,723;0,750;0,793;0,822;0,221;0,451;0,702
"São José do Norte (RS)";431850;0,360;0,481;0,623;0,527;0,579;0,663;0,626;0,723;0,792;0,141;0,266;0,461
"São José do Ouro (RS)";431860;0,489;0,653;0,755;0,581;0,662;0,759;0,700;0,771;0,846;0,287;0,546;0,669
"São José dos Ausentes (RS)";431862;0,420;0,512;0,663;0,569;0,616;0,674;0,686;0,777;0,801;0,190;0,280;0,541
"São José do Sul (RS)";431861;0,416;0,576;0,725;0,588;0,675;0,774;0,734;0,795;0,836;0,167;0,356;0,590
"São Leopoldo (RS)";431870;0,543;0,656;0,739;0,684;0,725;0,766;0,715;0,806;0,861;0,327;0,482;0,612
"São Lourenço do Sul (RS)";431880;0,469;0,589;0,687;0,618;0,653;0,722;0,736;0,790;0,849;0,227;0,396;0,528
"São Luiz Gonzaga (RS)";431890;0,520;0,634;0,741;0,612;0,667;0,718;0,702;0,764;0,855;0,328;0,501;0,664
"São Marcos (RS)";431900;0,555;0,695;0,768;0,702;0,731;0,775;0,761;0,835;0,855;0,320;0,551;0,683
"São Martinho (RS)";431910;0,470;0,638;0,726;0,525;0,663;0,734;0,720;0,759;0,830;0,275;0,515;0,628
"São Martinho da Serra (RS)";431912;0,369;0,541;0,652;0,515;0,646;0,659;0,752;0,803;0,848;0,130;0,305;0,496
"São Miguel das Missões (RS)";431915;0,403;0,570;0,667;0,527;0,667;0,674;0,673;0,772;0,821;0,184;0,360;0,537
"São Nicolau (RS)";431920;0,393;0,517;0,645;0,537;0,549;0,658;0,694;0,733;0,778;0,163;0,343;0,523
"São Paulo das Missões (RS)";431930;0,441;0,567;0,692;0,492;0,568;0,688;0,717;0,776;0,825;0,243;0,413;0,584
"São Pedro da Serra (RS)";431935;0,546;0,639;0,739;0,658;0,691;0,748;0,754;0,793;0,851;0,328;0,477;0,634
"São Pedro das Missões (RS)";431936;0,398;0,471;0,664;0,452;0,471;0,644;0,711;0,765;0,804;0,196;0,290;0,566
"São Pedro do Butiá (RS)";431937;0,553;0,666;0,763;0,607;0,642;0,760;0,748;0,793;0,843;0,373;0,580;0,694
"São Pedro do Sul (RS)";431940;0,476;0,614;0,709;0,571;0,655;0,698;0,694;0,737;0,824;0,272;0,480;0,619
"São Sebastião do Caí (RS)";431950;0,552;0,662;0,739;0,668;0,718;0,734;0,744;0,837;0,852;0,339;0,483;0,646
"São Sepé (RS)";431960;0,506;0,614;0,708;0,617;0,645;0,708;0,717;0,795;0,871;0,293;0,451;0,576
"São Valentim (RS)";431970;0,458;0,544;0,720;0,601;0,608;0,745;0,729;0,775;0,820;0,219;0,342;0,612
"São Valentim do Sul (RS)";431971;0,502;0,671;0,764;0,596;0,711;0,776;0,760;0,840;0,848;0,280;0,505;0,677
"São Valério do Sul (RS)";431973;0,431;0,532;0,642;0,470;0,554;0,674;0,716;0,777;0,816;0,238;0,349;0,480
"São Vendelino (RS)";431975;0,509;0,655;0,754;0,622;0,687;0,743;0,777;0,840;0,852;0,273;0,488;0,677
"São Vicente do Sul (RS)";431980;0,488;0,589;0,685;0,617;0,673;0,698;0,752;0,792;0,831;0,250;0,384;0,553
"Sapiranga (RS)";431990;0,463;0,597;0,711;0,636;0,691;0,722;0,736;0,778;0,832;0,212;0,395;0,598
"Sapucaia do Sul (RS)";432000;0,513;0,633;0,726;0,625;0,677;0,726;0,748;0,791;0,844;0,288;0,474;0,624
"Sarandi (RS)";432010;0,535;0,677;0,777;0,603;0,687;0,776;0,766;0,821;0,858;0,332;0,549;0,705
"Seberi (RS)";432020;0,406;0,597;0,723;0,514;0,619;0,706;0,734;0,794;0,865;0,178;0,433;0,620
"Sede Nova (RS)";432023;0,451;0,571;0,712;0,532;0,611;0,751;0,754;0,793;0,886;0,229;0,384;0,543
"Segredo (RS)";432026;0,394;0,530;0,659;0,517;0,573;0,673;0,672;0,729;0,811;0,176;0,357;0,525
"Selbach (RS)";432030;0,570;0,741;0,777;0,618;0,800;0,785;0,727;0,832;0,841;0,412;0,611;0,710
"Senador Salgado Filho (RS)";432032;0,393;0,590;0,693;0,493;0,583;0,701;0,720;0,768;0,817;0,171;0,458;0,581
"Sentinela do Sul (RS)";432035;0,375;0,560;0,671;0,554;0,601;0,671;0,707;0,776;0,826;0,135;0,377;0,545
"Serafina Corrêa (RS)";432040;0,561;0,678;0,760;0,658;0,728;0,755;0,750;0,805;0,843;0,358;0,531;0,690
"Sério (RS)";432045;0,367;0,522;0,652;0,531;0,589;0,695;0,727;0,781;0,847;0,128;0,310;0,471
"Sertão (RS)";432050;0,495;0,684;0,751;0,552;0,676;0,746;0,752;0,830;0,837;0,293;0,571;0,678
"Sertão Santana (RS)";432055;0,409;0,577;0,689;0,577;0,668;0,737;0,664;0,760;0,832;0,179;0,379;0,534
"Sete de Setembro (RS)";432057;0,389;0,532;0,683;0,468;0,552;0,682;0,717;0,779;0,810;0,175;0,350;0,577
"Severiano de Almeida (RS)";432060;0,451;0,633;0,752;0,533;0,657;0,738;0,750;0,811;0,861;0,230;0,475;0,670
"Silveira Martins (RS)";432065;0,502;0,652;0,742;0,589;0,675;0,744;0,760;0,842;0,852;0,282;0,487;0,644
"Sinimbu (RS)";432067;0,374;0,513;0,631;0,553;0,624;0,697;0,705;0,748;0,792;0,134;0,289;0,456
"Sobradinho (RS)";432070;0,538;0,650;0,743;0,623;0,670;0,735;0,692;0,770;0,861;0,361;0,532;0,647
"Soledade (RS)";432080;0,522;0,633;0,731;0,615;0,674;0,727;0,734;0,769;0,861;0,316;0,489;0,625
"Tabaí (RS)";432085;0,379;0,602;0,701;0,509;0,641;0,694;0,687;0,746;0,834;0,156;0,457;0,595
"Tapejara (RS)";432090;0,490;0,660;0,760;0,608;0,683;0,763;0,707;0,800;0,837;0,274;0,526;0,688
"Tapera (RS)";432100;0,553;0,660;0,747;0,640;0,698;0,743;0,703;0,781;0,835;0,376;0,527;0,672
"Tapes (RS)";432110;0,498;0,619;0,695;0,646;0,681;0,699;0,714;0,781;0,862;0,267;0,447;0,556
"Taquara (RS)";432120;0,537;0,651;0,727;0,679;0,714;0,754;0,788;0,833;0,880;0,289;0,463;0,579
"Taquari (RS)";432130;0,498;0,641;0,733;0,603;0,672;0,737;0,709;0,799;0,849;0,289;0,491;0,629
"Taquaruçu do Sul (RS)";432132;0,435;0,588;0,739;0,595;0,607;0,768;0,734;0,794;0,830;0,189;0,421;0,633
"Tavares (RS)";432135;0,426;0,543;0,656;0,608;0,648;0,692;0,744;0,784;0,828;0,171;0,315;0,492
"Tenente Portela (RS)";432140;0,480;0,607;0,708;0,547;0,609;0,709;0,711;0,749;0,830;0,285;0,491;0,603
"Terra de Areia (RS)";432143;0,487;0,611;0,689;0,606;0,662;0,699;0,720;0,776;0,829;0,265;0,444;0,565
"Teutônia (RS)";432145;0,535;0,664;0,747;0,654;0,697;0,751;0,747;0,821;0,855;0,314;0,512;0,650
"Tio Hugo (RS)";432146;0,428;0,595;0,742;0,540;0,640;0,709;0,727;0,781;0,845;0,200;0,422;0,682
"Tiradentes do Sul (RS)";432147;0,392;0,551;0,689;0,484;0,577;0,705;0,734;0,783;0,815;0,170;0,370;0,569
"Toropi (RS)";432149;0,368;0,520;0,683;0,507;0,579;0,680;0,698;0,751;0,822;0,141;0,323;0,569
"Torres (RS)";432150;0,538;0,681;0,762;0,657;0,702;0,750;0,745;0,846;0,862;0,319;0,532;0,685
"Tramandaí (RS)";432160;0,504;0,633;0,719;0,622;0,708;0,727;0,714;0,797;0,842;0,288;0,450;0,606
"Travesseiro (RS)";432162;0,440;0,569;0,701;0,559;0,639;0,735;0,694;0,747;0,839;0,220;0,385;0,559
"Três Arroios (RS)";432163;0,482;0,637;0,791;0,612;0,649;0,843;0,763;0,843;0,851;0,240;0,473;0,689
"Três Cachoeiras (RS)";432166;0,509;0,638;0,718;0,685;0,670;0,722;0,744;0,793;0,847;0,258;0,489;0,606
"Três Coroas (RS)";432170;0,478;0,610;0,710;0,631;0,695;0,740;0,711;0,750;0,829;0,243;0,435;0,584
"Três de Maio (RS)";432180;0,533;0,655;0,759;0,595;0,665;0,756;0,750;0,801;0,834;0,339;0,528;0,694
"Três Forquilhas (RS)";432183;0,378;0,541;0,662;0,514;0,599;0,661;0,715;0,757;0,813;0,147;0,350;0,539
"Três Palmeiras (RS)";432185;0,388;0,594;0,703;0,508;0,653;0,747;0,734;0,793;0,832;0,157;0,405;0,560
"Três Passos (RS)";432190;0,523;0,686;0,768;0,598;0,671;0,745;0,754;0,846;0,858;0,317;0,569;0,710
"Trindade do Sul (RS)";432195;0,378;0,561;0,687;0,464;0,568;0,675;0,734;0,769;0,787;0,158;0,405;0,610
"Triunfo (RS)";432200;0,492;0,628;0,733;0,633;0,685;0,717;0,706;0,778;0,873;0,267;0,465;0,629
"Tucunduva (RS)";432210;0,562;0,661;0,747;0,632;0,662;0,748;0,750;0,793;0,816;0,374;0,549;0,682
"Tunas (RS)";432215;0,319;0,484;0,657;0,479;0,526;0,659;0,667;0,748;0,794;0,102;0,288;0,541
"Tupanci do Sul (RS)";432218;0,401;0,570;0,694;0,471;0,619;0,688;0,681;0,775;0,818;0,201;0,387;0,595
"Tupanciretã (RS)";432220;0,512;0,612;0,709;0,619;0,651;0,721;0,702;0,777;0,828;0,308;0,453;0,596
"Tupandi (RS)";432225;0,405;0,654;0,718;0,575;0,686;0,742;0,754;0,806;0,836;0,153;0,506;0,597
"Tuparendi (RS)";432230;0,495;0,642;0,728;0,563;0,660;0,734;0,750;0,794;0,832;0,288;0,506;0,632
"Turuçu (RS)";432232;0,352;0,528;0,629;0,535;0,606;0,685;0,694;0,729;0,814;0,117;0,333;0,446
"Ubiretama (RS)";432234;0,432;0,554;0,700;0,497;0,553;0,691;0,720;0,788;0,809;0,226;0,390;0,613
"União da Serra (RS)";432235;0,401;0,664;0,733;0,550;0,703;0,786;0,781;0,841;0,852;0,150;0,495;0,587
"Unistalda (RS)";432237;0,376;0,552;0,649;0,494;0,556;0,626;0,702;0,777;0,804;0,153;0,389;0,542
"Uruguaiana (RS)";432240;0,550;0,663;0,744;0,653;0,688;0,722;0,715;0,811;0,863;0,357;0,523;0,661
"Vacaria (RS)";432250;0,535;0,641;0,721;0,633;0,701;0,740;0,734;0,786;0,838;0,329;0,478;0,605
"Vale do Sol (RS)";432253;0,335;0,496;0,624;0,555;0,615;0,681;0,719;0,759;0,813;0,094;0,261;0,439
"Vale Real (RS)";432254;0,451;0,604;0,737;0,579;0,676;0,739;0,721;0,767;0,850;0,220;0,424;0,636
"Vale Verde (RS)";432252;0,403;0,549;0,646;0,613;0,638;0,666;0,705;0,760;0,816;0,151;0,342;0,497
"Vanini (RS)";432255;0,563;0,673;0,757;0,575;0,658;0,736;0,720;0,766;0,836;0,432;0,606;0,704
"Venâncio Aires (RS)";432260;0,477;0,610;0,712;0,603;0,669;0,736;0,734;0,773;0,818;0,245;0,438;0,600
"Vera Cruz (RS)";432270;0,456;0,582;0,737;0,600;0,649;0,738;0,721;0,754;0,842;0,219;0,403;0,643
"Veranópolis (RS)";432280;0,600;0,702;0,773;0,678;0,753;0,797;0,777;0,831;0,838;0,410;0,554;0,692
"Vespasiano Correa (RS)";432285;0,430;0,639;0,723;0,571;0,678;0,758;0,772;0,824;0,855;0,180;0,467;0,584
"Viadutos (RS)";432290;0,417;0,567;0,702;0,595;0,658;0,715;0,745;0,780;0,864;0,163;0,355;0,561
"Viamão (RS)";432300;0,511;0,620;0,717;0,626;0,667;0,720;0,758;0,844;0,866;0,281;0,423;0,591
"Vicente Dutra (RS)";432310;0,358;0,489;0,638;0,491;0,550;0,656;0,705;0,757;0,809;0,133;0,281;0,489
"Victor Graeff (RS)";432320;0,516;0,664;0,777;0,597;0,701;0,774;0,721;0,755;0,840;0,320;0,552;0,722
"Vila Flores (RS)";432330;0,563;0,621;0,742;0,681;0,670;0,725;0,713;0,792;0,867;0,368;0,452;0,650
"Vila Lângaro (RS)";432335;0,412;0,616;0,705;0,530;0,646;0,759;0,742;0,780;0,839;0,178;0,464;0,551
"Vila Maria (RS)";432340;0,464;0,662;0,761;0,622;0,705;0,791;0,751;0,830;0,839;0,214;0,495;0,664
"Vila Nova do Sul (RS)";432345;0,379;0,565;0,662;0,499;0,618;0,645;0,671;0,751;0,827;0,163;0,389;0,544
"Vista Alegre (RS)";432350;0,452;0,632;0,739;0,600;0,613;0,760;0,705;0,803;0,842;0,219;0,514;0,631
"Vista Alegre do Prata (RS)";432360;0,437;0,689;0,780;0,654;0,690;0,809;0,748;0,842;0,847;0,171;0,564;0,692
"Vista Gaúcha (RS)";432370;0,461;0,619;0,757;0,523;0,622;0,774;0,720;0,766;0,839;0,260;0,499;0,669
"Vitória das Missões (RS)";432375;0,432;0,556;0,655;0,547;0,542;0,659;0,707;0,774;0,809;0,209;0,410;0,526
"Westfalia (RS)";432377;0,564;0,680;0,752;0,660;0,758;0,796;0,759;0,824;0,849;0,358;0,504;0,630
"Xangri-Lá (RS)";432380;0,502;0,642;0,735;0,658;0,678;0,740;0,761;0,819;0,852;0,252;0,477;0,630
"Abdon Batista (SC)";420005;0,410;0,576;0,694;0,495;0,583;0,660;0,716;0,750;0,812;0,194;0,437;0,625
"Abelardo Luz (SC)";420010;0,443;0,579;0,696;0,555;0,661;0,684;0,751;0,791;0,852;0,209;0,371;0,578
"Agrolândia (SC)";420020;0,458;0,593;0,725;0,578;0,633;0,727;0,724;0,760;0,827;0,230;0,433;0,633
"Agronômica (SC)";420030;0,431;0,602;0,741;0,573;0,668;0,774;0,761;0,805;0,884;0,184;0,405;0,595
"Água Doce (SC)";420040;0,446;0,627;0,698;0,578;0,689;0,724;0,717;0,794;0,820;0,214;0,450;0,574
"Águas de Chapecó (SC)";420050;0,453;0,582;0,713;0,513;0,672;0,712;0,718;0,782;0,811;0,253;0,375;0,629
"Águas Frias (SC)";420055;0,430;0,600;0,745;0,552;0,663;0,728;0,740;0,769;0,860;0,195;0,423;0,661
"Águas Mornas (SC)";420060;0,369;0,570;0,723;0,552;0,622;0,731;0,774;0,809;0,853;0,118;0,368;0,606
"Alfredo Wagner (SC)";420070;0,389;0,548;0,668;0,579;0,671;0,702;0,743;0,840;0,882;0,137;0,292;0,481
"Alto Bela Vista (SC)";420075;0,456;0,619;0,755;0,565;0,625;0,734;0,741;0,789;0,882;0,226;0,480;0,664
"Anchieta (SC)";420080;0,418;0,563;0,699;0,526;0,573;0,703;0,742;0,779;0,800;0,187;0,400;0,608
"Angelina (SC)";420090;0,433;0,552;0,687;0,546;0,599;0,699;0,710;0,779;0,797;0,209;0,360;0,581
"Anita Garibaldi (SC)";420100;0,396;0,544;0,688;0,474;0,586;0,667;0,707;0,733;0,826;0,186;0,374;0,592
"Anitápolis (SC)";420110;0,399;0,552;0,674;0,570;0,654;0,699;0,737;0,783;0,836;0,151;0,329;0,524
"Antônio Carlos (SC)";420120;0,464;0,661;0,749;0,598;0,692;0,768;0,793;0,858;0,890;0,211;0,487;0,615
"Apiúna (SC)";420125;0,410;0,578;0,708;0,588;0,657;0,735;0,712;0,747;0,827;0,165;0,393;0,584
"Arabutã (SC)";420127;0,451;0,623;0,733;0,591;0,701;0,744;0,741;0,777;0,863;0,210;0,444;0,614
"Araquari (SC)";420130;0,451;0,578;0,703;0,609;0,634;0,696;0,716;0,774;0,830;0,211;0,393;0,602
"Araranguá (SC)";420140;0,548;0,666;0,760;0,621;0,687;0,745;0,756;0,808;0,853;0,351;0,533;0,691
"Armazém (SC)";420150;0,529;0,666;0,770;0,594;0,679;0,743;0,768;0,808;0,882;0,324;0,539;0,698
"Arroio Trinta (SC)";420160;0,517;0,670;0,764;0,580;0,662;0,781;0,764;0,851;0,873;0,311;0,535;0,653
"Arvoredo (SC)";420165;0,412;0,569;0,715;0,619;0,626;0,713;0,766;0,819;0,842;0,147;0,359;0,610
"Ascurra (SC)";420170;0,533;0,603;0,742;0,625;0,676;0,739;0,750;0,777;0,868;0,323;0,417;0,636
"Atalanta (SC)";420180;0,476;0,599;0,733;0,560;0,677;0,736;0,717;0,759;0,802;0,268;0,418;0,668
"Aurora (SC)";420190;0,447;0,601;0,733;0,608;0,676;0,748;0,779;0,824;0,870;0,189;0,390;0,606
"Balneário Arroio do Silva (SC)";420195;0,467;0,654;0,746;0,564;0,665;0,753;0,734;0,826;0,858;0,246;0,509;0,642
"Balneário Barra do Sul (SC)";420205;0,498;0,639;0,716;0,567;0,660;0,713;0,725;0,821;0,844;0,301;0,481;0,611
"Balneário Camboriú (SC)";420200;0,630;0,777;0,845;0,738;0,848;0,854;0,751;0,829;0,894;0,452;0,668;0,789
"Balneário Gaivota (SC)";420207;0,468;0,625;0,728;0,569;0,641;0,734;0,748;0,792;0,844;0,241;0,480;0,622
"Balneário Piçarras (SC)";421280;0,500;0,642;0,756;0,610;0,702;0,745;0,733;0,802;0,869;0,280;0,470;0,668
"Bandeirante (SC)";420208;0,346;0,548;0,672;0,440;0,613;0,675;0,707;0,740;0,795;0,133;0,362;0,565
"Barra Bonita (SC)";420209;0,358;0,543;0,701;0,466;0,576;0,692;0,721;0,740;0,830;0,137;0,376;0,599
"Barra Velha (SC)";420210;0,530;0,627;0,738;0,610;0,683;0,735;0,736;0,813;0,857;0,332;0,444;0,639
"Bela Vista do Toldo (SC)";420213;0,316;0,491;0,675;0,479;0,541;0,624;0,653;0,733;0,826;0,101;0,299;0,598
"Belmonte (SC)";420215;0,414;0,559;0,705;0,485;0,582;0,699;0,733;0,761;0,820;0,199;0,395;0,611
"Benedito Novo (SC)";420220;0,517;0,617;0,740;0,608;0,659;0,723;0,753;0,812;0,868;0,302;0,439;0,645
"Biguaçu (SC)";420230;0,538;0,636;0,739;0,627;0,697;0,733;0,740;0,794;0,836;0,335;0,464;0,659
"Blumenau (SC)";420240;0,611;0,727;0,806;0,726;0,761;0,812;0,772;0,826;0,894;0,407;0,611;0,722
"Bocaina do Sul (SC)";420243;0,388;0,505;0,647;0,481;0,563;0,642;0,707;0,733;0,768;0,172;0,312;0,549
"Bombinhas (SC)";420245;0,515;0,661;0,781;0,596;0,698;0,753;0,736;0,798;0,864;0,312;0,519;0,732
"Bom Jardim da Serra (SC)";420250;0,395;0,553;0,696;0,565;0,642;0,710;0,716;0,814;0,835;0,152;0,324;0,568
"Bom Jesus (SC)";420253;0,380;0,549;0,718;0,565;0,590;0,740;0,705;0,762;0,827;0,138;0,368;0,606
